,Season,DayNum,WTeamID,WScore,LTeamID,LScore,WLoc,NumOT,Team1,Team2,y,SeedNum1,SeedNum2,SeedDiff,WinPct_1,MarginPG_1,Tempo_1,OffEff_1,DefEff_1,NetEff_1,eFG_1,TOV_rate_1,FTR_1,ORB_rate_1,WinPct_2,MarginPG_2,Tempo_2,OffEff_2,DefEff_2,NetEff_2,eFG_2,TOV_rate_2,FTR_2,ORB_rate_2
0,2003,134,1421,92,1411,84,N,1,1411,1421,0,16,16,0,0.6,1.9666666666666666,70.66499999999999,103.02129767211491,100.23821316540486,2.783084506710054,0.5012062726176115,0.2155711219604236,0.5078407720144753,0.3654024051803885,0.4482758620689655,-7.241379310344827,70.66637931034482,100.76488599904847,111.0121625413246,-10.247276542276126,0.48633879781420764,0.22934380832713214,0.36854887674559805,0.34970530451866405
1,2003,136,1112,80,1436,51,N,0,1112,1436,1,1,16,-15,0.8928571428571429,14.964285714285714,77.19642857142857,110.38630580615313,91.00161924589405,19.384686560259084,0.5149456521739131,0.19153365718251214,0.3804347826086957,0.3946146703806871,0.6551724137931034,4.655172413793103,66.25258620689655,102.32521827384747,95.29881722248969,7.02640105135778,0.49166666666666664,0.2123534539965909,0.35,0.3722772277227723
2,2003,136,1113,84,1272,71,N,0,1113,1272,1,10,7,3,0.6206896551724138,6.793103448275862,69.65517241379311,109.05940594059406,99.3069306930693,9.752475247524757,0.5133333333333333,0.200990099009901,0.46060606060606063,0.3997985901309164,0.7931034482758621,8.689655172413794,70.60000000000001,105.54850053726678,93.24020709192146,12.308293445345313,0.49626436781609196,0.19536973722770343,0.3816091954022989,0.37362637362637363
3,2003,136,1141,79,1166,73,N,0,1141,1166,1,11,6,5,0.7931034482758621,6.103448275862069,72.30172413793103,109.74126624537975,101.29963038035054,8.441635865029212,0.5700261780104712,0.25229521879098604,0.47774869109947643,0.35906432748538014,0.8787878787878788,14.909090909090908,69.45378787878788,114.09374011496635,92.627537385879,21.466202729087357,0.5688291139240507,0.19241047568145378,0.34862869198312235,0.337406015037594
4,2003,136,1143,76,1301,74,N,1,1143,1301,1,8,9,-1,0.7241379310344828,4.724137931034483,70.92586206896551,105.01495004497168,98.3542796023045,6.6606704426671826,0.5202583675866118,0.19982011328001556,0.33235466823253085,0.3282980866062437,0.6,4.4,67.52166666666668,107.22484140893046,100.70841458297336,6.516426825957097,0.5309375,0.21030286574679732,0.38375,0.3122994652406417
5,2003,136,1163,58,1140,53,N,0,1140,1163,0,12,5,7,0.7419354838709677,8.774193548387096,65.60564516129033,110.43502845693352,97.06088431611165,13.374144140821869,0.5292636878539962,0.20946269867610723,0.4713656387665198,0.34994807892004154,0.7,8.633333333333333,73.73083333333334,108.54798422188817,96.83872644868157,11.709257773206602,0.5235798499464094,0.21429298009652223,0.3553054662379421,0.4071691176470588
6,2003,136,1181,67,1161,57,N,0,1161,1181,0,14,3,11,0.5666666666666667,1.3333333333333333,68.96000000000001,107.30858468677494,105.37509667440061,1.933488012374326,0.5470249520153551,0.2339520494972931,0.4657709532949456,0.36160714285714285,0.8,11.566666666666666,73.93166666666666,110.86814400685319,95.22306634504837,15.64507766180482,0.5143646408839779,0.18981491918212764,0.46519337016574586,0.3782051282051282
7,2003,136,1211,74,1153,69,N,0,1153,1211,0,8,9,-1,0.6071428571428571,5.821428571428571,65.37232142857142,102.98154800114727,94.07651228539821,8.905035715749065,0.462822936357908,0.1622573992378819,0.3799621928166352,0.3346456692913386,0.7419354838709677,8.870967741935484,69.7709677419355,110.45355772342688,97.73914651625132,12.714411207175559,0.5346131471785922,0.20851634379767903,0.4444444444444444,0.3623898139079334
8,2003,136,1228,65,1443,60,N,0,1228,1443,1,4,13,-9,0.8,14.033333333333333,68.30583333333334,110.43468713018653,89.88983371356765,20.544853416618878,0.5522700119474313,0.19276050117730303,0.34229390681003585,0.3146551724137931,0.7419354838709677,6.67741935483871,68.9241935483871,106.05386937495612,96.36580628554044,9.688063089415678,0.5288517022504328,0.2199705145905974,0.3773802654356607,0.3600764087870105
9,2003,136,1242,64,1429,61,N,0,1242,1429,1,2,15,-13,0.7666666666666667,14.966666666666667,74.36333333333333,109.37289883006858,89.24649244699448,20.126406383074098,0.5238095238095238,0.2003675646600027,0.3873729266987694,0.38858695652173914,0.7333333333333333,5.866666666666666,61.14416666666667,107.88709743366088,98.2922873536587,9.59481008000219,0.49518613607188705,0.20007359655459092,0.38960205391527597,0.3989473684210526
10,2003,136,1266,72,1221,68,N,0,1221,1266,0,14,3,11,0.8620689655172413,11.137931034482758,65.10172413793103,106.5176514208533,89.4091474880161,17.108503932837195,0.5094833224329627,0.21398871792155513,0.4198822759973839,0.3812636165577342,0.8214285714285714,10.714285714285714,67.92767857142857,115.40635392158151,99.63327593685511,15.773077984726399,0.5352380952380953,0.19979232113986778,0.41968253968253966,0.4137542277339346
11,2003,136,1281,72,1356,71,N,0,1281,1356,1,6,11,-5,0.6774193548387096,5.290322580645161,67.9491935483871,105.62920588200386,97.84350261699323,7.785703265010625,0.5051771117166213,0.2003394376728343,0.3068119891008174,0.3669885864793679,0.8,6.433333333333334,68.74833333333332,108.41474944847148,99.0569468350748,9.357802613396686,0.5256336405529954,0.1818225896385367,0.3352534562211982,0.32082922013820336
12,2003,136,1323,70,1454,69,N,0,1323,1454,1,5,12,-7,0.7096774193548387,8.903225806451612,72.91290322580646,109.85267442374905,97.64190594168915,12.210768482059905,0.5170122275385434,0.17519798256868555,0.3763955342902711,0.3146167557932264,0.7666666666666667,7.166666666666667,71.14750000000001,108.36642187005867,98.29345139791747,10.072970472141208,0.5404858299595142,0.2089555735151153,0.37189126662810873,0.33494675701839305
13,2003,136,1328,71,1354,54,N,0,1328,1354,1,1,16,-15,0.8,11.0,65.035,109.42825657979037,92.51428717869865,16.91396940109172,0.5129716981132075,0.18144076266625664,0.3290094339622642,0.35135135135135137,0.6666666666666666,1.5333333333333334,73.12166666666667,99.56009390741458,97.46313222255145,2.096961684863132,0.5036787247087676,0.26622296173044924,0.47455548743102394,0.3795121951219512
14,2003,136,1390,77,1360,69,N,0,1360,1390,0,13,4,9,0.6071428571428571,3.107142857142857,72.68125,102.74805596845324,98.47302924953625,4.27502671891699,0.5356904603068713,0.25011363217571836,0.4916611074049366,0.3450854700854701,0.7419354838709677,5.290322580645161,68.48064516129033,105.51603938009326,97.7907579254793,7.725281454613963,0.5016675931072818,0.2091478637712563,0.35797665369649806,0.38904109589041097
15,2003,136,1409,84,1173,71,N,0,1173,1409,0,4,13,-9,0.8275862068965517,6.482758620689655,64.86120689655174,112.22903015723227,102.23421363920306,9.99481651802921,0.5209923664122137,0.2052127221254934,0.42048346055979646,0.41157894736842104,0.7096774193548387,8.258064516129032,69.40241935483871,105.9273289255046,94.02851532088451,11.898813604620088,0.5209276018099548,0.20637004845512963,0.3399321266968326,0.3295238095238095
16,2003,136,1458,81,1451,74,N,0,1451,1458,0,12,5,7,0.8620689655172413,7.0344827586206895,67.16810344827586,110.47936854264262,100.00641724956684,10.47295129307578,0.5234833659491194,0.1853301674902137,0.48597521200260924,0.3225806451612903,0.7586206896551724,12.03448275862069,63.341379310344834,111.65550655996515,92.6561053949589,18.999401165006248,0.5223928342930262,0.1660406119004845,0.36084452975047987,0.32219827586206895
17,2003,137,1120,65,1386,63,N,1,1120,1386,1,10,7,3,0.6333333333333333,4.533333333333333,68.04,103.02763080540858,96.36488340192044,6.66274740348814,0.5213284582571602,0.23368606701940034,0.3607556368068251,0.3668032786885246,0.7931034482758621,11.344827586206897,65.98362068965517,107.02760611959603,89.8342065037039,17.193399615892133,0.5193282636248415,0.19597339987718998,0.37959442332065907,0.3375
18,2003,137,1139,47,1280,46,N,0,1139,1280,1,12,5,7,0.8275862068965517,7.655172413793103,61.10344827586207,112.24604966139955,99.71783295711062,12.528216704288937,0.5588835942818243,0.17042889390519186,0.32675289312457456,0.27921279212792127,0.7,10.0,67.1425,104.5041019721736,89.61040572910848,14.893696243065122,0.5218040621266428,0.2328381179332514,0.3160095579450418,0.3861788617886179
19,2003,137,1196,85,1358,55,N,0,1196,1358,1,2,15,-13,0.7741935483870968,11.225806451612904,68.09112903225805,111.4730022621487,94.98655738869874,16.486444873449955,0.5533675799086758,0.19660559260004976,0.3350456621004566,0.33201189296333,0.7777777777777778,6.518518518518518,69.4675925925926,103.32555814728424,93.94201932689104,9.383538820393198,0.5159611380985427,0.22605798067310898,0.44066620402498263,0.32844243792325056
20,2003,137,1231,67,1104,62,N,0,1104,1231,0,10,7,3,0.6071428571428571,4.285714285714286,66.83392857142857,103.66847463061427,97.25599166377215,6.41248296684212,0.4759525296689569,0.1987869719721057,0.3660212367270456,0.3747534516765286,0.625,3.53125,65.965625,106.92121843763323,101.5680515419963,5.353166895636932,0.49516496018202505,0.1743332227959638,0.4118316268486917,0.31713780918727913
21,2003,137,1246,95,1237,64,N,0,1237,1246,0,16,1,15,0.59375,0.84375,68.903125,103.40605016100503,102.18150483015103,1.2245453308539993,0.5133256083429896,0.2308494716313665,0.41946697566628044,0.3511737089201878,0.90625,13.4375,69.46484375,111.6122139121633,92.26789630546027,19.34431760670303,0.537988228999465,0.20244053309340382,0.35580524344569286,0.39200761179828736
22,2003,137,1257,86,1122,64,N,0,1122,1257,0,13,4,9,0.7407407407407407,2.0,68.06666666666666,102.40504951572532,99.46675372728262,2.9382957884427015,0.5099573257467994,0.22363695723147242,0.46088193456614507,0.3206703910614525,0.8,13.366666666666667,72.9225,112.21959386106253,93.88963168660793,18.329962174454607,0.5290410958904109,0.18329962174454614,0.4126027397260274,0.358695652173913
23,2003,137,1268,75,1423,73,N,0,1268,1423,1,6,11,-5,0.6785714285714286,13.928571428571429,73.96071428571429,109.22787193973635,90.39548022598869,18.832391713747654,0.5177564825253664,0.19073832633154666,0.34047350620067646,0.36806883365200765,0.8,11.766666666666667,66.545,107.24572344528765,89.56345330227666,17.682270143010996,0.5215721040189125,0.17231447391489468,0.32269503546099293,0.2975124378109453
24,2003,137,1277,79,1160,64,N,0,1160,1277,0,10,7,3,0.6451612903225806,5.451612903225806,72.20806451612903,104.5812950925864,97.03142799705154,7.549867095534864,0.48395581273014204,0.19388416091491883,0.39032088374539714,0.3844178082191781,0.6129032258064516,6.258064516129032,65.4790322580645,102.66768480429589,93.11032834938543,9.557356454910462,0.49873737373737376,0.22218390521467105,0.43308080808080807,0.3455114822546973
25,2003,137,1329,77,1335,63,N,0,1329,1335,1,6,11,-5,0.6896551724137931,6.517241379310345,68.30344827586207,100.6159127625202,91.07431340872375,9.541599353796443,0.48879900435594276,0.21455977382875607,0.403235843186061,0.3557978196233895,0.8148148148148148,10.777777777777779,64.10462962962963,109.48536102725579,92.67256943942917,16.812791587826624,0.5531991373112869,0.20279346554388802,0.3644859813084112,0.30324909747292417
26,2003,137,1338,87,1447,61,N,0,1338,1447,1,2,15,-13,0.8666666666666667,15.766666666666667,68.13000000000001,109.49655071187435,86.35451832281423,23.14203238906012,0.5616822429906542,0.22163510934977249,0.4261682242990654,0.364124597207304,0.6774193548387096,4.096774193548387,69.80806451612904,108.22300778632655,102.35438183036436,5.868625955962187,0.5329977628635347,0.2144127908320048,0.3344519015659955,0.3597678916827853
27,2003,137,1345,80,1261,56,N,0,1261,1345,0,8,9,-1,0.6774193548387096,10.32258064516129,67.76129032258065,108.06436256307722,92.83061982290775,15.233742740169475,0.5480374926772115,0.20470341807102732,0.36086701816051553,0.33131923464249746,0.6428571428571429,6.5,69.93392857142858,102.596838852999,93.30235170952174,9.294487143477255,0.4835850295469468,0.19763552332558793,0.46881155613919895,0.3069620253164557
28,2003,137,1393,76,1264,65,N,0,1264,1393,0,14,3,11,0.7931034482758621,8.413793103448276,71.7991379310345,106.09098658854322,94.37247109392821,11.718515494615005,0.49850209706411025,0.19787001572874516,0.4152186938286399,0.3293172690763052,0.8275862068965517,10.206896551724139,72.73706896551724,110.1274074074074,96.09481481481481,14.032592592592593,0.5121951219512195,0.18725925925925926,0.37971175166297116,0.3911404335532517
