,Season,TeamID,Games,Wins,PointsFor,PointsAgainst,PossTot,FGM,FGM3,FGA,FTA,TO,OR,OppDR,WinPct,MarginPG,Tempo,OffEff,DefEff,NetEff,eFG,TOV_rate,FTR,ORB_rate,TeamName,FirstD1Season,LastD1Season
0,2003,1102,28,12,1603,1596,1544.525,536,219,1114,479,320,117,564,0.42857142857142855,0.25,55.16160714285714,103.78595361033327,103.33273983910911,0.4532137712241564,0.579443447037702,0.20718343827390298,0.42998204667863554,0.17180616740088106,Air Force,1985,2026
1,2003,1103,27,13,2127,2110,1916.55,733,147,1508,698,341,264,595,0.48148148148148145,0.6296296296296297,70.98333333333333,110.98066838851061,110.09365787482717,0.8870105136834354,0.5348143236074271,0.17792387362709036,0.46286472148541113,0.3073341094295693,Akron,1985,2026
2,2003,1104,28,17,1940,1820,1871.35,673,178,1601,586,372,380,634,0.6071428571428571,4.285714285714286,66.83392857142857,103.66847463061427,97.25599166377215,6.41248296684212,0.4759525296689569,0.1987869719721057,0.3660212367270456,0.3747534516765286,Alabama,1985,2026
3,2003,1105,26,7,1866,1993,2005.8,634,197,1602,568,485,351,686,0.2692307692307692,-4.884615384615385,77.14615384615385,93.03021238408616,99.36185063316383,-6.33163824907767,0.45724094881398253,0.24179878352776948,0.3545568039950062,0.33847637415621984,Alabama A&M,2000,2026
4,2003,1106,28,13,1781,1785,1899.975,656,171,1548,461,477,344,626,0.4642857142857143,-0.14285714285714285,67.85625,93.73807550099343,93.94860458690246,-0.2105290859090303,0.47900516795865633,0.25105593494651246,0.29780361757105944,0.354639175257732,Alabama St,1985,2026
5,2003,1107,28,7,1846,2120,1910.025,673,222,1609,379,352,231,758,0.25,-9.785714285714286,68.21517857142858,96.64794963416709,110.99331160586902,-14.345361971701934,0.4872591671845867,0.1842907815342731,0.23555003107520198,0.23356926188068755,SUNY Albany,2000,2026
6,2003,1108,33,14,2280,2413,2442.225,823,172,1938,691,609,433,783,0.42424242424242425,-4.03030303030303,74.00681818181818,93.35749163160642,98.8033453101168,-5.445853678510375,0.46904024767801855,0.2493627737002119,0.35655314757481943,0.3560855263157895,Alcorn St,1985,2026
7,2003,1110,30,16,1991,1857,1936.6,695,263,1606,496,395,300,694,0.5333333333333333,4.466666666666667,64.55333333333333,102.8090467830218,95.88970360425489,6.919343178766908,0.5146326276463262,0.20396571310544254,0.30884184308841844,0.30181086519114686,American Univ,1985,2026
8,2003,1111,26,16,2165,2125,2083.475,744,187,1677,681,421,338,692,0.6153846153846154,1.5384615384615385,80.13365384615385,103.91293392049342,101.99306447161594,1.9198694488774777,0.49940369707811566,0.2020662594943544,0.40608228980322003,0.32815533980582523,Appalachian St,1985,2026
9,2003,1112,28,25,2386,1967,2161.5,849,197,1840,700,414,425,652,0.8928571428571429,14.964285714285714,77.19642857142857,110.38630580615313,91.00161924589405,19.384686560259084,0.5149456521739131,0.19153365718251214,0.3804347826086957,0.3946146703806871,Arizona,1985,2026
10,2003,1113,29,18,2203,2006,2020.0,789,116,1650,760,406,397,596,0.6206896551724138,6.793103448275862,69.65517241379311,109.05940594059406,99.3069306930693,9.752475247524757,0.5133333333333333,0.200990099009901,0.46060606060606063,0.3997985901309164,Arizona St,1985,2026
11,2003,1114,28,16,1961,1962,1940.3,668,190,1490,628,447,295,633,0.5714285714285714,-0.03571428571428571,69.29642857142856,101.0668453331959,101.11838375508943,-0.05153842189352531,0.5120805369127517,0.23037674586404164,0.4214765100671141,0.31788793103448276,Ark Little Rock,1985,2026
12,2003,1115,28,4,1526,2077,2010.175,539,133,1520,493,535,279,795,0.14285714285714285,-19.678571428571427,71.79196428571429,75.91378860049498,103.32433743330805,-27.410548832813063,0.3983552631578947,0.2661459823149726,0.3243421052631579,0.25977653631284914,Ark Pine Bluff,1999,2026
13,2003,1116,28,9,1726,1863,1876.3,611,170,1556,548,467,407,622,0.32142857142857145,-4.892857142857143,67.01071428571429,91.98955390928955,99.29115813036294,-7.30160422107339,0.4473007712082262,0.24889410009060386,0.35218508997429304,0.39552964042759964,Arkansas,1985,2026
14,2003,1117,26,11,1849,1815,1746.575,616,206,1422,557,345,285,608,0.4230769230769231,1.3076923076923077,67.17596153846154,105.86433448320284,103.91766743483674,1.9466670483660948,0.5056258790436006,0.19752945049597068,0.3917018284106892,0.3191489361702128,Arkansas St,1985,2026
15,2003,1119,25,3,1342,1687,1577.05,490,147,1190,318,434,198,549,0.12,-13.8,63.082,85.09558986715703,106.97187787324435,-21.87628800608732,0.47352941176470587,0.2751973621635332,0.2672268907563025,0.26506024096385544,Army,1985,2026
